"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 30 14:01:54 MSK 2022","Sun Jan 30 14:01:55 MSK 2022","897","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithFalseCvvField","buyTourWithFalseCvvField()",""
"failed","Sun Jan 30 14:02:05 MSK 2022","Sun Jan 30 14:02:17 MSK 2022","11708","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithDeclinedCard","buyTourWithDeclinedCard()",""
"passed","Sun Jan 30 14:01:35 MSK 2022","Sun Jan 30 14:01:42 MSK 2022","6241","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithExpiredCard","buyTourWithExpiredCard()",""
"passed","Sun Jan 30 14:02:02 MSK 2022","Sun Jan 30 14:02:03 MSK 2022","1089","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","changeToCreditForm","changeToCreditForm()",""
"passed","Sun Jan 30 14:02:03 MSK 2022","Sun Jan 30 14:02:04 MSK 2022","1265","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithEmptyHolderField","buyTourWithEmptyHolderField()",""
"passed","Sun Jan 30 14:02:20 MSK 2022","Sun Jan 30 14:02:21 MSK 2022","954","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","sendFormWithEmptyCardNumber","sendFormWithEmptyCardNumber()",""
"passed","Sun Jan 30 14:02:04 MSK 2022","Sun Jan 30 14:02:05 MSK 2022","933","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithEmptyCvvField","buyTourWithEmptyCvvField()",""
"passed","Sun Jan 30 14:01:53 MSK 2022","Sun Jan 30 14:01:54 MSK 2022","1338","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","sendFormWithFalseCardNumber","sendFormWithFalseCardNumber()",""
"failed","Sun Jan 30 14:01:46 MSK 2022","Sun Jan 30 14:01:52 MSK 2022","5357","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithNumericHolderField","buyTourWithNumericHolderField()",""
"passed","Sun Jan 30 14:02:00 MSK 2022","Sun Jan 30 14:02:02 MSK 2022","1794","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithEmptyMonthField","buyTourWithEmptyMonthField()",""
"failed","Sun Jan 30 14:01:55 MSK 2022","Sun Jan 30 14:02:00 MSK 2022","5491","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithCyrillicHolderName","buyTourWithCyrillicHolderName()",""
"passed","Sun Jan 30 14:02:17 MSK 2022","Sun Jan 30 14:02:20 MSK 2022","2827","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithCurrentMonthAndYear","buyTourWithCurrentMonthAndYear()",""
"passed","Sun Jan 30 14:01:43 MSK 2022","Sun Jan 30 14:01:46 MSK 2022","3547","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithApprovedCard","buyTourWithApprovedCard()",""
"passed","Sun Jan 30 14:01:42 MSK 2022","Sun Jan 30 14:01:43 MSK 2022","981","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","buyTourWithEmptyYearField","buyTourWithEmptyYearField()",""
"passed","Sun Jan 30 14:01:52 MSK 2022","Sun Jan 30 14:01:52 MSK 2022","673","","ru.netology.web.test.BuyTourTest","","ru.netology.web.test.BuyTourTest","sendEmptyForm","sendEmptyForm()",""
